entry_id,employee_id,date,clock_in,clock_out,total_hours,job_id,billable,approved
TS-00349,EMP-050,2026-08-14,08:00,16:00,8,JOB-0050,1,1
TS-00350,EMP-001,2026-09-15,09:00,18:00,9,JOB-0051,0,0
TS-00351,EMP-002,2026-01-16,010:00,17:00,7,JOB-0052,1,1
TS-00352,EMP-003,2026-02-17,07:00,15:00,8,JOB-0053,1,1
TS-00353,EMP-004,2026-03-18,08:00,17:00,9,JOB-0054,1,1
TS-00354,EMP-005,2026-04-19,09:00,16:00,7,JOB-0055,1,1
TS-00355,EMP-006,2026-05-20,010:00,18:00,8,JOB-0056,0,1
TS-00356,EMP-007,2026-06-21,07:00,16:00,9,JOB-0057,1,1
TS-00357,EMP-008,2026-07-22,08:00,15:00,7,JOB-0058,1,0
TS-00358,EMP-009,2026-08-23,09:00,17:00,8,JOB-0059,1,1
TS-00359,EMP-010,2026-09-24,010:00,19:00,9,JOB-0060,1,1
TS-00360,EMP-011,2026-01-25,07:00,14:00,7,JOB-0061,0,1
TS-00361,EMP-012,2026-02-26,08:00,16:00,8,JOB-0062,1,1
TS-00362,EMP-013,2026-03-27,09:00,18:00,9,JOB-0063,1,1
TS-00363,EMP-014,2026-04-28,010:00,17:00,7,JOB-0064,1,1
TS-00364,EMP-015,2026-05-01,07:00,15:00,8,JOB-0065,1,0
TS-00365,EMP-016,2026-06-02,08:00,17:00,9,JOB-0066,0,1
TS-00366,EMP-017,2026-07-03,09:00,16:00,7,JOB-0067,1,1
TS-00367,EMP-018,2026-08-04,010:00,18:00,8,JOB-0068,1,1
TS-00368,EMP-019,2026-09-05,07:00,16:00,9,JOB-0069,1,1
TS-00369,EMP-020,2026-01-06,08:00,15:00,7,JOB-0070,1,1
TS-00370,EMP-021,2026-02-07,09:00,17:00,8,JOB-0071,0,1
TS-00371,EMP-022,2026-03-08,010:00,19:00,9,JOB-0072,1,0
TS-00372,EMP-023,2026-04-09,07:00,14:00,7,JOB-0073,1,1
TS-00373,EMP-024,2026-05-10,08:00,16:00,8,JOB-0074,1,1
TS-00374,EMP-025,2026-06-11,09:00,18:00,9,JOB-0075,1,1
TS-00375,EMP-026,2026-07-12,010:00,17:00,7,JOB-0076,0,1
TS-00376,EMP-027,2026-08-13,07:00,15:00,8,JOB-0077,1,1
TS-00377,EMP-028,2026-09-14,08:00,17:00,9,JOB-0078,1,1
TS-00378,EMP-029,2026-01-15,09:00,16:00,7,JOB-0079,1,0
TS-00379,EMP-030,2026-02-16,010:00,18:00,8,JOB-0080,1,1
TS-00380,EMP-031,2026-03-17,07:00,16:00,9,JOB-0081,0,1
TS-00381,EMP-032,2026-04-18,08:00,15:00,7,JOB-0082,1,1
TS-00382,EMP-033,2026-05-19,09:00,17:00,8,JOB-0083,1,1
TS-00383,EMP-034,2026-06-20,010:00,19:00,9,JOB-0084,1,1
TS-00384,EMP-035,2026-07-21,07:00,14:00,7,JOB-0085,1,1
TS-00385,EMP-036,2026-08-22,08:00,16:00,8,JOB-0086,0,0
TS-00386,EMP-037,2026-09-23,09:00,18:00,9,JOB-0087,1,1
TS-00387,EMP-038,2026-01-24,010:00,17:00,7,JOB-0088,1,1
TS-00388,EMP-039,2026-02-25,07:00,15:00,8,JOB-0089,1,1
TS-00389,EMP-040,2026-03-26,08:00,17:00,9,JOB-0090,1,1
TS-00390,EMP-041,2026-04-27,09:00,16:00,7,JOB-0091,0,1
TS-00391,EMP-042,2026-05-28,010:00,18:00,8,JOB-0092,1,1
TS-00392,EMP-043,2026-06-01,07:00,16:00,9,JOB-0093,1,0
TS-00393,EMP-044,2026-07-02,08:00,15:00,7,JOB-0094,1,1
TS-00394,EMP-045,2026-08-03,09:00,17:00,8,JOB-0095,1,1
TS-00395,EMP-046,2026-09-04,010:00,19:00,9,JOB-0096,0,1
TS-00396,EMP-047,2026-01-05,07:00,14:00,7,JOB-0097,1,1
TS-00397,EMP-048,2026-02-06,08:00,16:00,8,JOB-0098,1,1
TS-00398,EMP-049,2026-03-07,09:00,18:00,9,JOB-0099,1,1
TS-00399,EMP-050,2026-04-08,010:00,17:00,7,JOB-0100,1,0
TS-00400,EMP-001,2026-05-09,07:00,15:00,8,JOB-0001,0,1
TS-00401,EMP-002,2026-06-10,08:00,17:00,9,JOB-0002,1,1
TS-00402,EMP-003,2026-07-11,09:00,16:00,7,JOB-0003,1,1
TS-00403,EMP-004,2026-08-12,010:00,18:00,8,JOB-0004,1,1
TS-00404,EMP-005,2026-09-13,07:00,16:00,9,JOB-0005,1,1
TS-00405,EMP-006,2026-01-14,08:00,15:00,7,JOB-0006,0,1
TS-00406,EMP-007,2026-02-15,09:00,17:00,8,JOB-0007,1,0
TS-00407,EMP-008,2026-03-16,010:00,19:00,9,JOB-0008,1,1
TS-00408,EMP-009,2026-04-17,07:00,14:00,7,JOB-0009,1,1
TS-00409,EMP-010,2026-05-18,08:00,16:00,8,JOB-0010,1,1
TS-00410,EMP-011,2026-06-19,09:00,18:00,9,JOB-0011,0,1
TS-00411,EMP-012,2026-07-20,010:00,17:00,7,JOB-0012,1,1
TS-00412,EMP-013,2026-08-21,07:00,15:00,8,JOB-0013,1,1
TS-00413,EMP-014,2026-09-22,08:00,17:00,9,JOB-0014,1,0
TS-00414,EMP-015,2026-01-23,09:00,16:00,7,JOB-0015,1,1
TS-00415,EMP-016,2026-02-24,010:00,18:00,8,JOB-0016,0,1
TS-00416,EMP-017,2026-03-25,07:00,16:00,9,JOB-0017,1,1
TS-00417,EMP-018,2026-04-26,08:00,15:00,7,JOB-0018,1,1
TS-00418,EMP-019,2026-05-27,09:00,17:00,8,JOB-0019,1,1
TS-00419,EMP-020,2026-06-28,010:00,19:00,9,JOB-0020,1,1
TS-00420,EMP-021,2026-07-01,07:00,14:00,7,JOB-0021,0,0
TS-00421,EMP-022,2026-08-02,08:00,16:00,8,JOB-0022,1,1
TS-00422,EMP-023,2026-09-03,09:00,18:00,9,JOB-0023,1,1
TS-00423,EMP-024,2026-01-04,010:00,17:00,7,JOB-0024,1,1
TS-00424,EMP-025,2026-02-05,07:00,15:00,8,JOB-0025,1,1
TS-00425,EMP-026,2026-03-06,08:00,17:00,9,JOB-0026,0,1
TS-00426,EMP-027,2026-04-07,09:00,16:00,7,JOB-0027,1,1
TS-00427,EMP-028,2026-05-08,010:00,18:00,8,JOB-0028,1,0
TS-00428,EMP-029,2026-06-09,07:00,16:00,9,JOB-0029,1,1
TS-00429,EMP-030,2026-07-10,08:00,15:00,7,JOB-0030,1,1
TS-00430,EMP-031,2026-08-11,09:00,17:00,8,JOB-0031,0,1
TS-00431,EMP-032,2026-09-12,010:00,19:00,9,JOB-0032,1,1
TS-00432,EMP-033,2026-01-13,07:00,14:00,7,JOB-0033,1,1
TS-00433,EMP-034,2026-02-14,08:00,16:00,8,JOB-0034,1,1
TS-00434,EMP-035,2026-03-15,09:00,18:00,9,JOB-0035,1,0
TS-00435,EMP-036,2026-04-16,010:00,17:00,7,JOB-0036,0,1
TS-00436,EMP-037,2026-05-17,07:00,15:00,8,JOB-0037,1,1
TS-00437,EMP-038,2026-06-18,08:00,17:00,9,JOB-0038,1,1
TS-00438,EMP-039,2026-07-19,09:00,16:00,7,JOB-0039,1,1
TS-00439,EMP-040,2026-08-20,010:00,18:00,8,JOB-0040,1,1
TS-00440,EMP-041,2026-09-21,07:00,16:00,9,JOB-0041,0,1
TS-00441,EMP-042,2026-01-22,08:00,15:00,7,JOB-0042,1,0
TS-00442,EMP-043,2026-02-23,09:00,17:00,8,JOB-0043,1,1
TS-00443,EMP-044,2026-03-24,010:00,19:00,9,JOB-0044,1,1
TS-00444,EMP-045,2026-04-25,07:00,14:00,7,JOB-0045,1,1
TS-00445,EMP-046,2026-05-26,08:00,16:00,8,JOB-0046,0,1
TS-00446,EMP-047,2026-06-27,09:00,18:00,9,JOB-0047,1,1
TS-00447,EMP-048,2026-07-28,010:00,17:00,7,JOB-0048,1,1
TS-00448,EMP-049,2026-08-01,07:00,15:00,8,JOB-0049,1,0
TS-00449,EMP-050,2026-09-02,08:00,17:00,9,JOB-0050,1,1
TS-00450,EMP-001,2026-01-03,09:00,16:00,7,JOB-0051,0,1
TS-00451,EMP-002,2026-02-04,010:00,18:00,8,JOB-0052,1,1
TS-00452,EMP-003,2026-03-05,07:00,16:00,9,JOB-0053,1,1
TS-00453,EMP-004,2026-04-06,08:00,15:00,7,JOB-0054,1,1
TS-00454,EMP-005,2026-05-07,09:00,17:00,8,JOB-0055,1,1
TS-00455,EMP-006,2026-06-08,010:00,19:00,9,JOB-0056,0,0
TS-00456,EMP-007,2026-07-09,07:00,14:00,7,JOB-0057,1,1
TS-00457,EMP-008,2026-08-10,08:00,16:00,8,JOB-0058,1,1
TS-00458,EMP-009,2026-09-11,09:00,18:00,9,JOB-0059,1,1
TS-00459,EMP-010,2026-01-12,010:00,17:00,7,JOB-0060,1,1
TS-00460,EMP-011,2026-02-13,07:00,15:00,8,JOB-0061,0,1
TS-00461,EMP-012,2026-03-14,08:00,17:00,9,JOB-0062,1,1
TS-00462,EMP-013,2026-04-15,09:00,16:00,7,JOB-0063,1,0
TS-00463,EMP-014,2026-05-16,010:00,18:00,8,JOB-0064,1,1
TS-00464,EMP-015,2026-06-17,07:00,16:00,9,JOB-0065,1,1
TS-00465,EMP-016,2026-07-18,08:00,15:00,7,JOB-0066,0,1
TS-00466,EMP-017,2026-08-19,09:00,17:00,8,JOB-0067,1,1
TS-00467,EMP-018,2026-09-20,010:00,19:00,9,JOB-0068,1,1
TS-00468,EMP-019,2026-01-21,07:00,14:00,7,JOB-0069,1,1
TS-00469,EMP-020,2026-02-22,08:00,16:00,8,JOB-0070,1,0
TS-00470,EMP-021,2026-03-23,09:00,18:00,9,JOB-0071,0,1
TS-00471,EMP-022,2026-04-24,010:00,17:00,7,JOB-0072,1,1
TS-00472,EMP-023,2026-05-25,07:00,15:00,8,JOB-0073,1,1
TS-00473,EMP-024,2026-06-26,08:00,17:00,9,JOB-0074,1,1
TS-00474,EMP-025,2026-07-27,09:00,16:00,7,JOB-0075,1,1
TS-00475,EMP-026,2026-08-28,010:00,18:00,8,JOB-0076,0,1
TS-00476,EMP-027,2026-09-01,07:00,16:00,9,JOB-0077,1,0
TS-00477,EMP-028,2026-01-02,08:00,15:00,7,JOB-0078,1,1
TS-00478,EMP-029,2026-02-03,09:00,17:00,8,JOB-0079,1,1
TS-00479,EMP-030,2026-03-04,010:00,19:00,9,JOB-0080,1,1
TS-00480,EMP-031,2026-04-05,07:00,14:00,7,JOB-0081,0,1
TS-00481,EMP-032,2026-05-06,08:00,16:00,8,JOB-0082,1,1
TS-00482,EMP-033,2026-06-07,09:00,18:00,9,JOB-0083,1,1
TS-00483,EMP-034,2026-07-08,010:00,17:00,7,JOB-0084,1,0
TS-00484,EMP-035,2026-08-09,07:00,15:00,8,JOB-0085,1,1
TS-00485,EMP-036,2026-09-10,08:00,17:00,9,JOB-0086,0,1
TS-00486,EMP-037,2026-01-11,09:00,16:00,7,JOB-0087,1,1
TS-00487,EMP-038,2026-02-12,010:00,18:00,8,JOB-0088,1,1
TS-00488,EMP-039,2026-03-13,07:00,16:00,9,JOB-0089,1,1
TS-00489,EMP-040,2026-04-14,08:00,15:00,7,JOB-0090,1,1
TS-00490,EMP-041,2026-05-15,09:00,17:00,8,JOB-0091,0,0
TS-00491,EMP-042,2026-06-16,010:00,19:00,9,JOB-0092,1,1
TS-00492,EMP-043,2026-07-17,07:00,14:00,7,JOB-0093,1,1
TS-00493,EMP-044,2026-08-18,08:00,16:00,8,JOB-0094,1,1
TS-00494,EMP-045,2026-09-19,09:00,18:00,9,JOB-0095,1,1
TS-00495,EMP-046,2026-01-20,010:00,17:00,7,JOB-0096,0,1
TS-00496,EMP-047,2026-02-21,07:00,15:00,8,JOB-0097,1,1
TS-00497,EMP-048,2026-03-22,08:00,17:00,9,JOB-0098,1,0
TS-00498,EMP-049,2026-04-23,09:00,16:00,7,JOB-0099,1,1
TS-00499,EMP-050,2026-05-24,010:00,18:00,8,JOB-0100,1,1
TS-00500,EMP-001,2026-06-25,07:00,16:00,9,JOB-0001,0,1
