sku,name,category,qty,unit_cost,total_value,reorder_point,supplier,last_ordered,location
SKU-00244,Item Name 244,safety,32,254.44,7420,9,Supplier 5,2026-02-21,Warehouse-5-Aisle-5
SKU-00245,Item Name 245,parts,35,255.45,7450,10,Supplier 6,2026-03-22,Warehouse-1-Aisle-6
SKU-00246,Item Name 246,tools,38,256.46,7480,11,Supplier 7,2026-04-23,Warehouse-2-Aisle-7
SKU-00247,Item Name 247,supplies,41,257.47,7510,12,Supplier 8,2026-05-24,Warehouse-3-Aisle-8
SKU-00248,Item Name 248,equipment,44,258.48,7540,13,Supplier 9,2026-06-25,Warehouse-4-Aisle-9
SKU-00249,Item Name 249,safety,47,259.49,7570,14,Supplier 10,2026-07-26,Warehouse-5-Aisle-10
SKU-00250,Item Name 250,parts,50,260.50,7600,15,Supplier 1,2026-08-27,Warehouse-1-Aisle-11
SKU-00251,Item Name 251,tools,53,261.51,7630,16,Supplier 2,2026-09-28,Warehouse-2-Aisle-12
SKU-00252,Item Name 252,supplies,56,262.52,7660,17,Supplier 3,2026-01-01,Warehouse-3-Aisle-13
SKU-00253,Item Name 253,equipment,59,263.53,7690,18,Supplier 4,2026-02-02,Warehouse-4-Aisle-14
SKU-00254,Item Name 254,safety,62,264.54,7720,19,Supplier 5,2026-03-03,Warehouse-5-Aisle-15
SKU-00255,Item Name 255,parts,65,265.55,7750,20,Supplier 6,2026-04-04,Warehouse-1-Aisle-16
SKU-00256,Item Name 256,tools,68,266.56,7780,21,Supplier 7,2026-05-05,Warehouse-2-Aisle-17
SKU-00257,Item Name 257,supplies,71,267.57,7810,22,Supplier 8,2026-06-06,Warehouse-3-Aisle-18
SKU-00258,Item Name 258,equipment,74,268.58,7840,23,Supplier 9,2026-07-07,Warehouse-4-Aisle-19
SKU-00259,Item Name 259,safety,77,269.59,7870,24,Supplier 10,2026-08-08,Warehouse-5-Aisle-20
SKU-00260,Item Name 260,parts,80,270.60,7900,5,Supplier 1,2026-09-09,Warehouse-1-Aisle-1
SKU-00261,Item Name 261,tools,83,271.61,7930,6,Supplier 2,2026-01-10,Warehouse-2-Aisle-2
SKU-00262,Item Name 262,supplies,86,272.62,7960,7,Supplier 3,2026-02-11,Warehouse-3-Aisle-3
SKU-00263,Item Name 263,equipment,89,273.63,7990,8,Supplier 4,2026-03-12,Warehouse-4-Aisle-4
SKU-00264,Item Name 264,safety,92,274.64,8020,9,Supplier 5,2026-04-13,Warehouse-5-Aisle-5
SKU-00265,Item Name 265,parts,95,275.65,8050,10,Supplier 6,2026-05-14,Warehouse-1-Aisle-6
SKU-00266,Item Name 266,tools,98,276.66,8080,11,Supplier 7,2026-06-15,Warehouse-2-Aisle-7
SKU-00267,Item Name 267,supplies,1,277.67,8110,12,Supplier 8,2026-07-16,Warehouse-3-Aisle-8
SKU-00268,Item Name 268,equipment,4,278.68,8140,13,Supplier 9,2026-08-17,Warehouse-4-Aisle-9
SKU-00269,Item Name 269,safety,7,279.69,8170,14,Supplier 10,2026-09-18,Warehouse-5-Aisle-10
SKU-00270,Item Name 270,parts,10,280.70,8200,15,Supplier 1,2026-01-19,Warehouse-1-Aisle-11
SKU-00271,Item Name 271,tools,13,281.71,8230,16,Supplier 2,2026-02-20,Warehouse-2-Aisle-12
SKU-00272,Item Name 272,supplies,16,282.72,8260,17,Supplier 3,2026-03-21,Warehouse-3-Aisle-13
SKU-00273,Item Name 273,equipment,19,283.73,8290,18,Supplier 4,2026-04-22,Warehouse-4-Aisle-14
SKU-00274,Item Name 274,safety,22,284.74,8320,19,Supplier 5,2026-05-23,Warehouse-5-Aisle-15
SKU-00275,Item Name 275,parts,25,285.75,8350,20,Supplier 6,2026-06-24,Warehouse-1-Aisle-16
SKU-00276,Item Name 276,tools,28,286.76,8380,21,Supplier 7,2026-07-25,Warehouse-2-Aisle-17
SKU-00277,Item Name 277,supplies,31,287.77,8410,22,Supplier 8,2026-08-26,Warehouse-3-Aisle-18
SKU-00278,Item Name 278,equipment,34,288.78,8440,23,Supplier 9,2026-09-27,Warehouse-4-Aisle-19
SKU-00279,Item Name 279,safety,37,289.79,8470,24,Supplier 10,2026-01-28,Warehouse-5-Aisle-20
SKU-00280,Item Name 280,parts,40,290.80,8500,5,Supplier 1,2026-02-01,Warehouse-1-Aisle-1
SKU-00281,Item Name 281,tools,43,291.81,8530,6,Supplier 2,2026-03-02,Warehouse-2-Aisle-2
SKU-00282,Item Name 282,supplies,46,292.82,8560,7,Supplier 3,2026-04-03,Warehouse-3-Aisle-3
SKU-00283,Item Name 283,equipment,49,293.83,8590,8,Supplier 4,2026-05-04,Warehouse-4-Aisle-4
SKU-00284,Item Name 284,safety,52,294.84,8620,9,Supplier 5,2026-06-05,Warehouse-5-Aisle-5
SKU-00285,Item Name 285,parts,55,295.85,8650,10,Supplier 6,2026-07-06,Warehouse-1-Aisle-6
SKU-00286,Item Name 286,tools,58,296.86,8680,11,Supplier 7,2026-08-07,Warehouse-2-Aisle-7
SKU-00287,Item Name 287,supplies,61,297.87,8710,12,Supplier 8,2026-09-08,Warehouse-3-Aisle-8
SKU-00288,Item Name 288,equipment,64,298.88,8740,13,Supplier 9,2026-01-09,Warehouse-4-Aisle-9
SKU-00289,Item Name 289,safety,67,299.89,8770,14,Supplier 10,2026-02-10,Warehouse-5-Aisle-10
SKU-00290,Item Name 290,parts,70,300.90,8800,15,Supplier 1,2026-03-11,Warehouse-1-Aisle-11
SKU-00291,Item Name 291,tools,73,301.91,8830,16,Supplier 2,2026-04-12,Warehouse-2-Aisle-12
SKU-00292,Item Name 292,supplies,76,302.92,8860,17,Supplier 3,2026-05-13,Warehouse-3-Aisle-13
SKU-00293,Item Name 293,equipment,79,303.93,8890,18,Supplier 4,2026-06-14,Warehouse-4-Aisle-14
SKU-00294,Item Name 294,safety,82,304.94,8920,19,Supplier 5,2026-07-15,Warehouse-5-Aisle-15
SKU-00295,Item Name 295,parts,85,305.95,8950,20,Supplier 6,2026-08-16,Warehouse-1-Aisle-16
SKU-00296,Item Name 296,tools,88,306.96,8980,21,Supplier 7,2026-09-17,Warehouse-2-Aisle-17
SKU-00297,Item Name 297,supplies,91,307.97,9010,22,Supplier 8,2026-01-18,Warehouse-3-Aisle-18
SKU-00298,Item Name 298,equipment,94,308.98,9040,23,Supplier 9,2026-02-19,Warehouse-4-Aisle-19
SKU-00299,Item Name 299,safety,97,309.99,9070,24,Supplier 10,2026-03-20,Warehouse-5-Aisle-20
SKU-00300,Item Name 300,parts,0,310.0,9100,5,Supplier 1,2026-04-21,Warehouse-1-Aisle-1
SKU-00301,Item Name 301,tools,3,311.1,9130,6,Supplier 2,2026-05-22,Warehouse-2-Aisle-2
SKU-00302,Item Name 302,supplies,6,312.2,9160,7,Supplier 3,2026-06-23,Warehouse-3-Aisle-3
SKU-00303,Item Name 303,equipment,9,313.3,9190,8,Supplier 4,2026-07-24,Warehouse-4-Aisle-4
SKU-00304,Item Name 304,safety,12,314.4,9220,9,Supplier 5,2026-08-25,Warehouse-5-Aisle-5
SKU-00305,Item Name 305,parts,15,315.5,9250,10,Supplier 6,2026-09-26,Warehouse-1-Aisle-6
SKU-00306,Item Name 306,tools,18,316.6,9280,11,Supplier 7,2026-01-27,Warehouse-2-Aisle-7
SKU-00307,Item Name 307,supplies,21,317.7,9310,12,Supplier 8,2026-02-28,Warehouse-3-Aisle-8
SKU-00308,Item Name 308,equipment,24,318.8,9340,13,Supplier 9,2026-03-01,Warehouse-4-Aisle-9
SKU-00309,Item Name 309,safety,27,319.9,9370,14,Supplier 10,2026-04-02,Warehouse-5-Aisle-10
SKU-00310,Item Name 310,parts,30,320.10,9400,15,Supplier 1,2026-05-03,Warehouse-1-Aisle-11
SKU-00311,Item Name 311,tools,33,321.11,9430,16,Supplier 2,2026-06-04,Warehouse-2-Aisle-12
SKU-00312,Item Name 312,supplies,36,322.12,9460,17,Supplier 3,2026-07-05,Warehouse-3-Aisle-13
SKU-00313,Item Name 313,equipment,39,323.13,9490,18,Supplier 4,2026-08-06,Warehouse-4-Aisle-14
SKU-00314,Item Name 314,safety,42,324.14,9520,19,Supplier 5,2026-09-07,Warehouse-5-Aisle-15
SKU-00315,Item Name 315,parts,45,325.15,9550,20,Supplier 6,2026-01-08,Warehouse-1-Aisle-16
SKU-00316,Item Name 316,tools,48,326.16,9580,21,Supplier 7,2026-02-09,Warehouse-2-Aisle-17
SKU-00317,Item Name 317,supplies,51,327.17,9610,22,Supplier 8,2026-03-10,Warehouse-3-Aisle-18
SKU-00318,Item Name 318,equipment,54,328.18,9640,23,Supplier 9,2026-04-11,Warehouse-4-Aisle-19
SKU-00319,Item Name 319,safety,57,329.19,9670,24,Supplier 10,2026-05-12,Warehouse-5-Aisle-20
SKU-00320,Item Name 320,parts,60,330.20,9700,5,Supplier 1,2026-06-13,Warehouse-1-Aisle-1
SKU-00321,Item Name 321,tools,63,331.21,9730,6,Supplier 2,2026-07-14,Warehouse-2-Aisle-2
SKU-00322,Item Name 322,supplies,66,332.22,9760,7,Supplier 3,2026-08-15,Warehouse-3-Aisle-3
SKU-00323,Item Name 323,equipment,69,333.23,9790,8,Supplier 4,2026-09-16,Warehouse-4-Aisle-4
SKU-00324,Item Name 324,safety,72,334.24,9820,9,Supplier 5,2026-01-17,Warehouse-5-Aisle-5
SKU-00325,Item Name 325,parts,75,335.25,9850,10,Supplier 6,2026-02-18,Warehouse-1-Aisle-6
SKU-00326,Item Name 326,tools,78,336.26,9880,11,Supplier 7,2026-03-19,Warehouse-2-Aisle-7
SKU-00327,Item Name 327,supplies,81,337.27,9910,12,Supplier 8,2026-04-20,Warehouse-3-Aisle-8
SKU-00328,Item Name 328,equipment,84,338.28,9940,13,Supplier 9,2026-05-21,Warehouse-4-Aisle-9
SKU-00329,Item Name 329,safety,87,339.29,9970,14,Supplier 10,2026-06-22,Warehouse-5-Aisle-10
SKU-00330,Item Name 330,parts,90,340.30,10000,15,Supplier 1,2026-07-23,Warehouse-1-Aisle-11
SKU-00331,Item Name 331,tools,93,341.31,10030,16,Supplier 2,2026-08-24,Warehouse-2-Aisle-12
SKU-00332,Item Name 332,supplies,96,342.32,10060,17,Supplier 3,2026-09-25,Warehouse-3-Aisle-13
SKU-00333,Item Name 333,equipment,99,343.33,10090,18,Supplier 4,2026-01-26,Warehouse-4-Aisle-14
SKU-00334,Item Name 334,safety,2,344.34,10120,19,Supplier 5,2026-02-27,Warehouse-5-Aisle-15
SKU-00335,Item Name 335,parts,5,345.35,10150,20,Supplier 6,2026-03-28,Warehouse-1-Aisle-16
SKU-00336,Item Name 336,tools,8,346.36,10180,21,Supplier 7,2026-04-01,Warehouse-2-Aisle-17
SKU-00337,Item Name 337,supplies,11,347.37,10210,22,Supplier 8,2026-05-02,Warehouse-3-Aisle-18
SKU-00338,Item Name 338,equipment,14,348.38,10240,23,Supplier 9,2026-06-03,Warehouse-4-Aisle-19
SKU-00339,Item Name 339,safety,17,349.39,10270,24,Supplier 10,2026-07-04,Warehouse-5-Aisle-20
SKU-00340,Item Name 340,parts,20,350.40,10300,5,Supplier 1,2026-08-05,Warehouse-1-Aisle-1
SKU-00341,Item Name 341,tools,23,351.41,10330,6,Supplier 2,2026-09-06,Warehouse-2-Aisle-2
SKU-00342,Item Name 342,supplies,26,352.42,10360,7,Supplier 3,2026-01-07,Warehouse-3-Aisle-3
SKU-00343,Item Name 343,equipment,29,353.43,10390,8,Supplier 4,2026-02-08,Warehouse-4-Aisle-4
SKU-00344,Item Name 344,safety,32,354.44,10420,9,Supplier 5,2026-03-09,Warehouse-5-Aisle-5
SKU-00345,Item Name 345,parts,35,355.45,10450,10,Supplier 6,2026-04-10,Warehouse-1-Aisle-6
SKU-00346,Item Name 346,tools,38,356.46,10480,11,Supplier 7,2026-05-11,Warehouse-2-Aisle-7
SKU-00347,Item Name 347,supplies,41,357.47,10510,12,Supplier 8,2026-06-12,Warehouse-3-Aisle-8
SKU-00348,Item Name 348,equipment,44,358.48,10540,13,Supplier 9,2026-07-13,Warehouse-4-Aisle-9
SKU-00349,Item Name 349,safety,47,359.49,10570,14,Supplier 10,2026-08-14,Warehouse-5-Aisle-10
SKU-00350,Item Name 350,parts,50,360.50,10600,15,Supplier 1,2026-09-15,Warehouse-1-Aisle-11
SKU-00351,Item Name 351,tools,53,361.51,10630,16,Supplier 2,2026-01-16,Warehouse-2-Aisle-12
SKU-00352,Item Name 352,supplies,56,362.52,10660,17,Supplier 3,2026-02-17,Warehouse-3-Aisle-13
SKU-00353,Item Name 353,equipment,59,363.53,10690,18,Supplier 4,2026-03-18,Warehouse-4-Aisle-14
SKU-00354,Item Name 354,safety,62,364.54,10720,19,Supplier 5,2026-04-19,Warehouse-5-Aisle-15
SKU-00355,Item Name 355,parts,65,365.55,10750,20,Supplier 6,2026-05-20,Warehouse-1-Aisle-16
SKU-00356,Item Name 356,tools,68,366.56,10780,21,Supplier 7,2026-06-21,Warehouse-2-Aisle-17
SKU-00357,Item Name 357,supplies,71,367.57,10810,22,Supplier 8,2026-07-22,Warehouse-3-Aisle-18
SKU-00358,Item Name 358,equipment,74,368.58,10840,23,Supplier 9,2026-08-23,Warehouse-4-Aisle-19
SKU-00359,Item Name 359,safety,77,369.59,10870,24,Supplier 10,2026-09-24,Warehouse-5-Aisle-20
SKU-00360,Item Name 360,parts,80,370.60,10900,5,Supplier 1,2026-01-25,Warehouse-1-Aisle-1
SKU-00361,Item Name 361,tools,83,371.61,10930,6,Supplier 2,2026-02-26,Warehouse-2-Aisle-2
SKU-00362,Item Name 362,supplies,86,372.62,10960,7,Supplier 3,2026-03-27,Warehouse-3-Aisle-3
SKU-00363,Item Name 363,equipment,89,373.63,10990,8,Supplier 4,2026-04-28,Warehouse-4-Aisle-4
SKU-00364,Item Name 364,safety,92,374.64,11020,9,Supplier 5,2026-05-01,Warehouse-5-Aisle-5
SKU-00365,Item Name 365,parts,95,375.65,11050,10,Supplier 6,2026-06-02,Warehouse-1-Aisle-6
SKU-00366,Item Name 366,tools,98,376.66,11080,11,Supplier 7,2026-07-03,Warehouse-2-Aisle-7
SKU-00367,Item Name 367,supplies,1,377.67,11110,12,Supplier 8,2026-08-04,Warehouse-3-Aisle-8
SKU-00368,Item Name 368,equipment,4,378.68,11140,13,Supplier 9,2026-09-05,Warehouse-4-Aisle-9
SKU-00369,Item Name 369,safety,7,379.69,11170,14,Supplier 10,2026-01-06,Warehouse-5-Aisle-10
SKU-00370,Item Name 370,parts,10,380.70,11200,15,Supplier 1,2026-02-07,Warehouse-1-Aisle-11
SKU-00371,Item Name 371,tools,13,381.71,11230,16,Supplier 2,2026-03-08,Warehouse-2-Aisle-12
SKU-00372,Item Name 372,supplies,16,382.72,11260,17,Supplier 3,2026-04-09,Warehouse-3-Aisle-13
SKU-00373,Item Name 373,equipment,19,383.73,11290,18,Supplier 4,2026-05-10,Warehouse-4-Aisle-14
SKU-00374,Item Name 374,safety,22,384.74,11320,19,Supplier 5,2026-06-11,Warehouse-5-Aisle-15
SKU-00375,Item Name 375,parts,25,385.75,11350,20,Supplier 6,2026-07-12,Warehouse-1-Aisle-16
SKU-00376,Item Name 376,tools,28,386.76,11380,21,Supplier 7,2026-08-13,Warehouse-2-Aisle-17
SKU-00377,Item Name 377,supplies,31,387.77,11410,22,Supplier 8,2026-09-14,Warehouse-3-Aisle-18
SKU-00378,Item Name 378,equipment,34,388.78,11440,23,Supplier 9,2026-01-15,Warehouse-4-Aisle-19
SKU-00379,Item Name 379,safety,37,389.79,11470,24,Supplier 10,2026-02-16,Warehouse-5-Aisle-20
SKU-00380,Item Name 380,parts,40,390.80,11500,5,Supplier 1,2026-03-17,Warehouse-1-Aisle-1
SKU-00381,Item Name 381,tools,43,391.81,11530,6,Supplier 2,2026-04-18,Warehouse-2-Aisle-2
SKU-00382,Item Name 382,supplies,46,392.82,11560,7,Supplier 3,2026-05-19,Warehouse-3-Aisle-3
SKU-00383,Item Name 383,equipment,49,393.83,11590,8,Supplier 4,2026-06-20,Warehouse-4-Aisle-4
SKU-00384,Item Name 384,safety,52,394.84,11620,9,Supplier 5,2026-07-21,Warehouse-5-Aisle-5
SKU-00385,Item Name 385,parts,55,395.85,11650,10,Supplier 6,2026-08-22,Warehouse-1-Aisle-6
SKU-00386,Item Name 386,tools,58,396.86,11680,11,Supplier 7,2026-09-23,Warehouse-2-Aisle-7
SKU-00387,Item Name 387,supplies,61,397.87,11710,12,Supplier 8,2026-01-24,Warehouse-3-Aisle-8
SKU-00388,Item Name 388,equipment,64,398.88,11740,13,Supplier 9,2026-02-25,Warehouse-4-Aisle-9
SKU-00389,Item Name 389,safety,67,399.89,11770,14,Supplier 10,2026-03-26,Warehouse-5-Aisle-10
SKU-00390,Item Name 390,parts,70,400.90,11800,15,Supplier 1,2026-04-27,Warehouse-1-Aisle-11
SKU-00391,Item Name 391,tools,73,401.91,11830,16,Supplier 2,2026-05-28,Warehouse-2-Aisle-12
SKU-00392,Item Name 392,supplies,76,402.92,11860,17,Supplier 3,2026-06-01,Warehouse-3-Aisle-13
SKU-00393,Item Name 393,equipment,79,403.93,11890,18,Supplier 4,2026-07-02,Warehouse-4-Aisle-14
SKU-00394,Item Name 394,safety,82,404.94,11920,19,Supplier 5,2026-08-03,Warehouse-5-Aisle-15
SKU-00395,Item Name 395,parts,85,405.95,11950,20,Supplier 6,2026-09-04,Warehouse-1-Aisle-16
SKU-00396,Item Name 396,tools,88,406.96,11980,21,Supplier 7,2026-01-05,Warehouse-2-Aisle-17
SKU-00397,Item Name 397,supplies,91,407.97,12010,22,Supplier 8,2026-02-06,Warehouse-3-Aisle-18
SKU-00398,Item Name 398,equipment,94,408.98,12040,23,Supplier 9,2026-03-07,Warehouse-4-Aisle-19
SKU-00399,Item Name 399,safety,97,409.99,12070,24,Supplier 10,2026-04-08,Warehouse-5-Aisle-20
SKU-00400,Item Name 400,parts,0,410.0,12100,5,Supplier 1,2026-05-09,Warehouse-1-Aisle-1
SKU-00401,Item Name 401,tools,3,411.1,12130,6,Supplier 2,2026-06-10,Warehouse-2-Aisle-2
SKU-00402,Item Name 402,supplies,6,412.2,12160,7,Supplier 3,2026-07-11,Warehouse-3-Aisle-3
SKU-00403,Item Name 403,equipment,9,413.3,12190,8,Supplier 4,2026-08-12,Warehouse-4-Aisle-4
SKU-00404,Item Name 404,safety,12,414.4,12220,9,Supplier 5,2026-09-13,Warehouse-5-Aisle-5
SKU-00405,Item Name 405,parts,15,415.5,12250,10,Supplier 6,2026-01-14,Warehouse-1-Aisle-6
SKU-00406,Item Name 406,tools,18,416.6,12280,11,Supplier 7,2026-02-15,Warehouse-2-Aisle-7
SKU-00407,Item Name 407,supplies,21,417.7,12310,12,Supplier 8,2026-03-16,Warehouse-3-Aisle-8
SKU-00408,Item Name 408,equipment,24,418.8,12340,13,Supplier 9,2026-04-17,Warehouse-4-Aisle-9
SKU-00409,Item Name 409,safety,27,419.9,12370,14,Supplier 10,2026-05-18,Warehouse-5-Aisle-10
SKU-00410,Item Name 410,parts,30,420.10,12400,15,Supplier 1,2026-06-19,Warehouse-1-Aisle-11
SKU-00411,Item Name 411,tools,33,421.11,12430,16,Supplier 2,2026-07-20,Warehouse-2-Aisle-12
SKU-00412,Item Name 412,supplies,36,422.12,12460,17,Supplier 3,2026-08-21,Warehouse-3-Aisle-13
SKU-00413,Item Name 413,equipment,39,423.13,12490,18,Supplier 4,2026-09-22,Warehouse-4-Aisle-14
SKU-00414,Item Name 414,safety,42,424.14,12520,19,Supplier 5,2026-01-23,Warehouse-5-Aisle-15
SKU-00415,Item Name 415,parts,45,425.15,12550,20,Supplier 6,2026-02-24,Warehouse-1-Aisle-16
SKU-00416,Item Name 416,tools,48,426.16,12580,21,Supplier 7,2026-03-25,Warehouse-2-Aisle-17
SKU-00417,Item Name 417,supplies,51,427.17,12610,22,Supplier 8,2026-04-26,Warehouse-3-Aisle-18
SKU-00418,Item Name 418,equipment,54,428.18,12640,23,Supplier 9,2026-05-27,Warehouse-4-Aisle-19
SKU-00419,Item Name 419,safety,57,429.19,12670,24,Supplier 10,2026-06-28,Warehouse-5-Aisle-20
SKU-00420,Item Name 420,parts,60,430.20,12700,5,Supplier 1,2026-07-01,Warehouse-1-Aisle-1
SKU-00421,Item Name 421,tools,63,431.21,12730,6,Supplier 2,2026-08-02,Warehouse-2-Aisle-2
SKU-00422,Item Name 422,supplies,66,432.22,12760,7,Supplier 3,2026-09-03,Warehouse-3-Aisle-3
SKU-00423,Item Name 423,equipment,69,433.23,12790,8,Supplier 4,2026-01-04,Warehouse-4-Aisle-4
SKU-00424,Item Name 424,safety,72,434.24,12820,9,Supplier 5,2026-02-05,Warehouse-5-Aisle-5
SKU-00425,Item Name 425,parts,75,435.25,12850,10,Supplier 6,2026-03-06,Warehouse-1-Aisle-6
SKU-00426,Item Name 426,tools,78,436.26,12880,11,Supplier 7,2026-04-07,Warehouse-2-Aisle-7
SKU-00427,Item Name 427,supplies,81,437.27,12910,12,Supplier 8,2026-05-08,Warehouse-3-Aisle-8
SKU-00428,Item Name 428,equipment,84,438.28,12940,13,Supplier 9,2026-06-09,Warehouse-4-Aisle-9
SKU-00429,Item Name 429,safety,87,439.29,12970,14,Supplier 10,2026-07-10,Warehouse-5-Aisle-10
SKU-00430,Item Name 430,parts,90,440.30,13000,15,Supplier 1,2026-08-11,Warehouse-1-Aisle-11
SKU-00431,Item Name 431,tools,93,441.31,13030,16,Supplier 2,2026-09-12,Warehouse-2-Aisle-12
SKU-00432,Item Name 432,supplies,96,442.32,13060,17,Supplier 3,2026-01-13,Warehouse-3-Aisle-13
SKU-00433,Item Name 433,equipment,99,443.33,13090,18,Supplier 4,2026-02-14,Warehouse-4-Aisle-14
SKU-00434,Item Name 434,safety,2,444.34,13120,19,Supplier 5,2026-03-15,Warehouse-5-Aisle-15
SKU-00435,Item Name 435,parts,5,445.35,13150,20,Supplier 6,2026-04-16,Warehouse-1-Aisle-16
SKU-00436,Item Name 436,tools,8,446.36,13180,21,Supplier 7,2026-05-17,Warehouse-2-Aisle-17
SKU-00437,Item Name 437,supplies,11,447.37,13210,22,Supplier 8,2026-06-18,Warehouse-3-Aisle-18
SKU-00438,Item Name 438,equipment,14,448.38,13240,23,Supplier 9,2026-07-19,Warehouse-4-Aisle-19
SKU-00439,Item Name 439,safety,17,449.39,13270,24,Supplier 10,2026-08-20,Warehouse-5-Aisle-20
SKU-00440,Item Name 440,parts,20,450.40,13300,5,Supplier 1,2026-09-21,Warehouse-1-Aisle-1
SKU-00441,Item Name 441,tools,23,451.41,13330,6,Supplier 2,2026-01-22,Warehouse-2-Aisle-2
SKU-00442,Item Name 442,supplies,26,452.42,13360,7,Supplier 3,2026-02-23,Warehouse-3-Aisle-3
SKU-00443,Item Name 443,equipment,29,453.43,13390,8,Supplier 4,2026-03-24,Warehouse-4-Aisle-4
SKU-00444,Item Name 444,safety,32,454.44,13420,9,Supplier 5,2026-04-25,Warehouse-5-Aisle-5
SKU-00445,Item Name 445,parts,35,455.45,13450,10,Supplier 6,2026-05-26,Warehouse-1-Aisle-6
SKU-00446,Item Name 446,tools,38,456.46,13480,11,Supplier 7,2026-06-27,Warehouse-2-Aisle-7
SKU-00447,Item Name 447,supplies,41,457.47,13510,12,Supplier 8,2026-07-28,Warehouse-3-Aisle-8
SKU-00448,Item Name 448,equipment,44,458.48,13540,13,Supplier 9,2026-08-01,Warehouse-4-Aisle-9
SKU-00449,Item Name 449,safety,47,459.49,13570,14,Supplier 10,2026-09-02,Warehouse-5-Aisle-10
SKU-00450,Item Name 450,parts,50,460.50,13600,15,Supplier 1,2026-01-03,Warehouse-1-Aisle-11
SKU-00451,Item Name 451,tools,53,461.51,13630,16,Supplier 2,2026-02-04,Warehouse-2-Aisle-12
SKU-00452,Item Name 452,supplies,56,462.52,13660,17,Supplier 3,2026-03-05,Warehouse-3-Aisle-13
SKU-00453,Item Name 453,equipment,59,463.53,13690,18,Supplier 4,2026-04-06,Warehouse-4-Aisle-14
SKU-00454,Item Name 454,safety,62,464.54,13720,19,Supplier 5,2026-05-07,Warehouse-5-Aisle-15
SKU-00455,Item Name 455,parts,65,465.55,13750,20,Supplier 6,2026-06-08,Warehouse-1-Aisle-16
SKU-00456,Item Name 456,tools,68,466.56,13780,21,Supplier 7,2026-07-09,Warehouse-2-Aisle-17
SKU-00457,Item Name 457,supplies,71,467.57,13810,22,Supplier 8,2026-08-10,Warehouse-3-Aisle-18
SKU-00458,Item Name 458,equipment,74,468.58,13840,23,Supplier 9,2026-09-11,Warehouse-4-Aisle-19
SKU-00459,Item Name 459,safety,77,469.59,13870,24,Supplier 10,2026-01-12,Warehouse-5-Aisle-20
SKU-00460,Item Name 460,parts,80,470.60,13900,5,Supplier 1,2026-02-13,Warehouse-1-Aisle-1
SKU-00461,Item Name 461,tools,83,471.61,13930,6,Supplier 2,2026-03-14,Warehouse-2-Aisle-2
SKU-00462,Item Name 462,supplies,86,472.62,13960,7,Supplier 3,2026-04-15,Warehouse-3-Aisle-3
SKU-00463,Item Name 463,equipment,89,473.63,13990,8,Supplier 4,2026-05-16,Warehouse-4-Aisle-4
SKU-00464,Item Name 464,safety,92,474.64,14020,9,Supplier 5,2026-06-17,Warehouse-5-Aisle-5
SKU-00465,Item Name 465,parts,95,475.65,14050,10,Supplier 6,2026-07-18,Warehouse-1-Aisle-6
SKU-00466,Item Name 466,tools,98,476.66,14080,11,Supplier 7,2026-08-19,Warehouse-2-Aisle-7
SKU-00467,Item Name 467,supplies,1,477.67,14110,12,Supplier 8,2026-09-20,Warehouse-3-Aisle-8
SKU-00468,Item Name 468,equipment,4,478.68,14140,13,Supplier 9,2026-01-21,Warehouse-4-Aisle-9
SKU-00469,Item Name 469,safety,7,479.69,14170,14,Supplier 10,2026-02-22,Warehouse-5-Aisle-10
SKU-00470,Item Name 470,parts,10,480.70,14200,15,Supplier 1,2026-03-23,Warehouse-1-Aisle-11
SKU-00471,Item Name 471,tools,13,481.71,14230,16,Supplier 2,2026-04-24,Warehouse-2-Aisle-12
SKU-00472,Item Name 472,supplies,16,482.72,14260,17,Supplier 3,2026-05-25,Warehouse-3-Aisle-13
SKU-00473,Item Name 473,equipment,19,483.73,14290,18,Supplier 4,2026-06-26,Warehouse-4-Aisle-14
SKU-00474,Item Name 474,safety,22,484.74,14320,19,Supplier 5,2026-07-27,Warehouse-5-Aisle-15
SKU-00475,Item Name 475,parts,25,485.75,14350,20,Supplier 6,2026-08-28,Warehouse-1-Aisle-16
SKU-00476,Item Name 476,tools,28,486.76,14380,21,Supplier 7,2026-09-01,Warehouse-2-Aisle-17
SKU-00477,Item Name 477,supplies,31,487.77,14410,22,Supplier 8,2026-01-02,Warehouse-3-Aisle-18
SKU-00478,Item Name 478,equipment,34,488.78,14440,23,Supplier 9,2026-02-03,Warehouse-4-Aisle-19
SKU-00479,Item Name 479,safety,37,489.79,14470,24,Supplier 10,2026-03-04,Warehouse-5-Aisle-20
SKU-00480,Item Name 480,parts,40,490.80,14500,5,Supplier 1,2026-04-05,Warehouse-1-Aisle-1
SKU-00481,Item Name 481,tools,43,491.81,14530,6,Supplier 2,2026-05-06,Warehouse-2-Aisle-2
SKU-00482,Item Name 482,supplies,46,492.82,14560,7,Supplier 3,2026-06-07,Warehouse-3-Aisle-3
SKU-00483,Item Name 483,equipment,49,493.83,14590,8,Supplier 4,2026-07-08,Warehouse-4-Aisle-4
SKU-00484,Item Name 484,safety,52,494.84,14620,9,Supplier 5,2026-08-09,Warehouse-5-Aisle-5
SKU-00485,Item Name 485,parts,55,495.85,14650,10,Supplier 6,2026-09-10,Warehouse-1-Aisle-6
SKU-00486,Item Name 486,tools,58,496.86,14680,11,Supplier 7,2026-01-11,Warehouse-2-Aisle-7
