service_id,service_name,category,duration_minutes,rate,technician_level,requires_inspection,seasonal
SRV-0468,Service Type 468,inspection,138,439.68,1,1,1
SRV-0469,Service Type 469,emergency,139,444.69,2,0,0
SRV-0470,Service Type 470,maintenance,140,449.70,3,1,0
SRV-0471,Service Type 471,repair,141,454.71,1,0,1
SRV-0472,Service Type 472,installation,142,459.72,2,1,0
SRV-0473,Service Type 473,inspection,143,464.73,3,0,0
SRV-0474,Service Type 474,emergency,144,469.74,1,1,1
SRV-0475,Service Type 475,maintenance,145,474.75,2,0,0
SRV-0476,Service Type 476,repair,146,479.76,3,1,0
SRV-0477,Service Type 477,installation,147,484.77,1,0,1
SRV-0478,Service Type 478,inspection,148,489.78,2,1,0
SRV-0479,Service Type 479,emergency,149,494.79,3,0,0
SRV-0480,Service Type 480,maintenance,150,499.80,1,1,1
SRV-0481,Service Type 481,repair,151,504.81,2,0,0
SRV-0482,Service Type 482,installation,152,509.82,3,1,0
SRV-0483,Service Type 483,inspection,153,514.83,1,0,1
SRV-0484,Service Type 484,emergency,154,519.84,2,1,0
SRV-0485,Service Type 485,maintenance,155,524.85,3,0,0
SRV-0486,Service Type 486,repair,156,529.86,1,1,1
SRV-0487,Service Type 487,installation,157,534.87,2,0,0
SRV-0488,Service Type 488,inspection,158,539.88,3,1,0
SRV-0489,Service Type 489,emergency,159,544.89,1,0,1
SRV-0490,Service Type 490,maintenance,160,549.90,2,1,0
SRV-0491,Service Type 491,repair,161,554.91,3,0,0
SRV-0492,Service Type 492,installation,162,559.92,1,1,1
SRV-0493,Service Type 493,inspection,163,564.93,2,0,0
SRV-0494,Service Type 494,emergency,164,569.94,3,1,0
SRV-0495,Service Type 495,maintenance,165,574.95,1,0,1
SRV-0496,Service Type 496,repair,166,579.96,2,1,0
SRV-0497,Service Type 497,installation,167,584.97,3,0,0
SRV-0498,Service Type 498,inspection,168,589.98,1,1,1
SRV-0499,Service Type 499,emergency,169,594.99,2,0,0
SRV-0500,Service Type 500,maintenance,170,99.0,3,1,0
