asset_id,name,serial_number,purchase_date,warranty_expiry,last_service,next_service,status,assigned_to,location
AST-00207,Equipment 207,SN-00000207,2024-01-12,2029-01-12,2026-01-12,2026-10-12,standby,EMP-008,Building 3 Room 8
AST-00208,Equipment 208,SN-00000208,2025-02-13,20210-02-13,2026-02-13,2026-11-13,active,EMP-009,Building 4 Room 9
AST-00209,Equipment 209,SN-00000209,2026-03-14,20211-03-14,2026-03-14,2026-12-14,maintenance,EMP-010,Building 5 Room 10
AST-00210,Equipment 210,SN-00000210,2020-04-15,2027-04-15,2026-04-15,2026-7-15,retired,EMP-011,Building 1 Room 11
AST-00211,Equipment 211,SN-00000211,2021-05-16,2028-05-16,2026-05-16,2026-8-16,standby,EMP-012,Building 2 Room 12
AST-00212,Equipment 212,SN-00000212,2022-06-17,2029-06-17,2026-06-17,2026-9-17,active,EMP-013,Building 3 Room 13
AST-00213,Equipment 213,SN-00000213,2023-07-18,20210-07-18,2026-07-18,2026-10-18,maintenance,EMP-014,Building 4 Room 14
AST-00214,Equipment 214,SN-00000214,2024-08-19,20211-08-19,2026-08-19,2026-11-19,retired,EMP-015,Building 5 Room 15
AST-00215,Equipment 215,SN-00000215,2025-09-20,2027-09-20,2026-09-20,2026-12-20,standby,EMP-016,Building 1 Room 16
AST-00216,Equipment 216,SN-00000216,2026-01-21,2028-01-21,2026-01-21,2026-7-21,active,EMP-017,Building 2 Room 17
AST-00217,Equipment 217,SN-00000217,2020-02-22,2029-02-22,2026-02-22,2026-8-22,maintenance,EMP-018,Building 3 Room 18
AST-00218,Equipment 218,SN-00000218,2021-03-23,20210-03-23,2026-03-23,2026-9-23,retired,EMP-019,Building 4 Room 19
AST-00219,Equipment 219,SN-00000219,2022-04-24,20211-04-24,2026-04-24,2026-10-24,standby,EMP-020,Building 5 Room 20
AST-00220,Equipment 220,SN-00000220,2023-05-25,2027-05-25,2026-05-25,2026-11-25,active,EMP-021,Building 1 Room 1
AST-00221,Equipment 221,SN-00000221,2024-06-26,2028-06-26,2026-06-26,2026-12-26,maintenance,EMP-022,Building 2 Room 2
AST-00222,Equipment 222,SN-00000222,2025-07-27,2029-07-27,2026-07-27,2026-7-27,retired,EMP-023,Building 3 Room 3
AST-00223,Equipment 223,SN-00000223,2026-08-28,20210-08-28,2026-08-28,2026-8-28,standby,EMP-024,Building 4 Room 4
AST-00224,Equipment 224,SN-00000224,2020-09-01,20211-09-01,2026-09-01,2026-9-01,active,EMP-025,Building 5 Room 5
AST-00225,Equipment 225,SN-00000225,2021-01-02,2027-01-02,2026-01-02,2026-10-02,maintenance,EMP-026,Building 1 Room 6
AST-00226,Equipment 226,SN-00000226,2022-02-03,2028-02-03,2026-02-03,2026-11-03,retired,EMP-027,Building 2 Room 7
AST-00227,Equipment 227,SN-00000227,2023-03-04,2029-03-04,2026-03-04,2026-12-04,standby,EMP-028,Building 3 Room 8
AST-00228,Equipment 228,SN-00000228,2024-04-05,20210-04-05,2026-04-05,2026-7-05,active,EMP-029,Building 4 Room 9
AST-00229,Equipment 229,SN-00000229,2025-05-06,20211-05-06,2026-05-06,2026-8-06,maintenance,EMP-030,Building 5 Room 10
AST-00230,Equipment 230,SN-00000230,2026-06-07,2027-06-07,2026-06-07,2026-9-07,retired,EMP-031,Building 1 Room 11
AST-00231,Equipment 231,SN-00000231,2020-07-08,2028-07-08,2026-07-08,2026-10-08,standby,EMP-032,Building 2 Room 12
AST-00232,Equipment 232,SN-00000232,2021-08-09,2029-08-09,2026-08-09,2026-11-09,active,EMP-033,Building 3 Room 13
AST-00233,Equipment 233,SN-00000233,2022-09-10,20210-09-10,2026-09-10,2026-12-10,maintenance,EMP-034,Building 4 Room 14
AST-00234,Equipment 234,SN-00000234,2023-01-11,20211-01-11,2026-01-11,2026-7-11,retired,EMP-035,Building 5 Room 15
AST-00235,Equipment 235,SN-00000235,2024-02-12,2027-02-12,2026-02-12,2026-8-12,standby,EMP-036,Building 1 Room 16
AST-00236,Equipment 236,SN-00000236,2025-03-13,2028-03-13,2026-03-13,2026-9-13,active,EMP-037,Building 2 Room 17
AST-00237,Equipment 237,SN-00000237,2026-04-14,2029-04-14,2026-04-14,2026-10-14,maintenance,EMP-038,Building 3 Room 18
AST-00238,Equipment 238,SN-00000238,2020-05-15,20210-05-15,2026-05-15,2026-11-15,retired,EMP-039,Building 4 Room 19
AST-00239,Equipment 239,SN-00000239,2021-06-16,20211-06-16,2026-06-16,2026-12-16,standby,EMP-040,Building 5 Room 20
AST-00240,Equipment 240,SN-00000240,2022-07-17,2027-07-17,2026-07-17,2026-7-17,active,EMP-041,Building 1 Room 1
AST-00241,Equipment 241,SN-00000241,2023-08-18,2028-08-18,2026-08-18,2026-8-18,maintenance,EMP-042,Building 2 Room 2
AST-00242,Equipment 242,SN-00000242,2024-09-19,2029-09-19,2026-09-19,2026-9-19,retired,EMP-043,Building 3 Room 3
AST-00243,Equipment 243,SN-00000243,2025-01-20,20210-01-20,2026-01-20,2026-10-20,standby,EMP-044,Building 4 Room 4
AST-00244,Equipment 244,SN-00000244,2026-02-21,20211-02-21,2026-02-21,2026-11-21,active,EMP-045,Building 5 Room 5
AST-00245,Equipment 245,SN-00000245,2020-03-22,2027-03-22,2026-03-22,2026-12-22,maintenance,EMP-046,Building 1 Room 6
AST-00246,Equipment 246,SN-00000246,2021-04-23,2028-04-23,2026-04-23,2026-7-23,retired,EMP-047,Building 2 Room 7
AST-00247,Equipment 247,SN-00000247,2022-05-24,2029-05-24,2026-05-24,2026-8-24,standby,EMP-048,Building 3 Room 8
AST-00248,Equipment 248,SN-00000248,2023-06-25,20210-06-25,2026-06-25,2026-9-25,active,EMP-049,Building 4 Room 9
AST-00249,Equipment 249,SN-00000249,2024-07-26,20211-07-26,2026-07-26,2026-10-26,maintenance,EMP-050,Building 5 Room 10
AST-00250,Equipment 250,SN-00000250,2025-08-27,2027-08-27,2026-08-27,2026-11-27,retired,EMP-001,Building 1 Room 11
AST-00251,Equipment 251,SN-00000251,2026-09-28,2028-09-28,2026-09-28,2026-12-28,standby,EMP-002,Building 2 Room 12
AST-00252,Equipment 252,SN-00000252,2020-01-01,2029-01-01,2026-01-01,2026-7-01,active,EMP-003,Building 3 Room 13
AST-00253,Equipment 253,SN-00000253,2021-02-02,20210-02-02,2026-02-02,2026-8-02,maintenance,EMP-004,Building 4 Room 14
AST-00254,Equipment 254,SN-00000254,2022-03-03,20211-03-03,2026-03-03,2026-9-03,retired,EMP-005,Building 5 Room 15
AST-00255,Equipment 255,SN-00000255,2023-04-04,2027-04-04,2026-04-04,2026-10-04,standby,EMP-006,Building 1 Room 16
AST-00256,Equipment 256,SN-00000256,2024-05-05,2028-05-05,2026-05-05,2026-11-05,active,EMP-007,Building 2 Room 17
AST-00257,Equipment 257,SN-00000257,2025-06-06,2029-06-06,2026-06-06,2026-12-06,maintenance,EMP-008,Building 3 Room 18
AST-00258,Equipment 258,SN-00000258,2026-07-07,20210-07-07,2026-07-07,2026-7-07,retired,EMP-009,Building 4 Room 19
AST-00259,Equipment 259,SN-00000259,2020-08-08,20211-08-08,2026-08-08,2026-8-08,standby,EMP-010,Building 5 Room 20
AST-00260,Equipment 260,SN-00000260,2021-09-09,2027-09-09,2026-09-09,2026-9-09,active,EMP-011,Building 1 Room 1
AST-00261,Equipment 261,SN-00000261,2022-01-10,2028-01-10,2026-01-10,2026-10-10,maintenance,EMP-012,Building 2 Room 2
AST-00262,Equipment 262,SN-00000262,2023-02-11,2029-02-11,2026-02-11,2026-11-11,retired,EMP-013,Building 3 Room 3
AST-00263,Equipment 263,SN-00000263,2024-03-12,20210-03-12,2026-03-12,2026-12-12,standby,EMP-014,Building 4 Room 4
AST-00264,Equipment 264,SN-00000264,2025-04-13,20211-04-13,2026-04-13,2026-7-13,active,EMP-015,Building 5 Room 5
AST-00265,Equipment 265,SN-00000265,2026-05-14,2027-05-14,2026-05-14,2026-8-14,maintenance,EMP-016,Building 1 Room 6
AST-00266,Equipment 266,SN-00000266,2020-06-15,2028-06-15,2026-06-15,2026-9-15,retired,EMP-017,Building 2 Room 7
AST-00267,Equipment 267,SN-00000267,2021-07-16,2029-07-16,2026-07-16,2026-10-16,standby,EMP-018,Building 3 Room 8
AST-00268,Equipment 268,SN-00000268,2022-08-17,20210-08-17,2026-08-17,2026-11-17,active,EMP-019,Building 4 Room 9
AST-00269,Equipment 269,SN-00000269,2023-09-18,20211-09-18,2026-09-18,2026-12-18,maintenance,EMP-020,Building 5 Room 10
AST-00270,Equipment 270,SN-00000270,2024-01-19,2027-01-19,2026-01-19,2026-7-19,retired,EMP-021,Building 1 Room 11
AST-00271,Equipment 271,SN-00000271,2025-02-20,2028-02-20,2026-02-20,2026-8-20,standby,EMP-022,Building 2 Room 12
AST-00272,Equipment 272,SN-00000272,2026-03-21,2029-03-21,2026-03-21,2026-9-21,active,EMP-023,Building 3 Room 13
AST-00273,Equipment 273,SN-00000273,2020-04-22,20210-04-22,2026-04-22,2026-10-22,maintenance,EMP-024,Building 4 Room 14
AST-00274,Equipment 274,SN-00000274,2021-05-23,20211-05-23,2026-05-23,2026-11-23,retired,EMP-025,Building 5 Room 15
AST-00275,Equipment 275,SN-00000275,2022-06-24,2027-06-24,2026-06-24,2026-12-24,standby,EMP-026,Building 1 Room 16
AST-00276,Equipment 276,SN-00000276,2023-07-25,2028-07-25,2026-07-25,2026-7-25,active,EMP-027,Building 2 Room 17
AST-00277,Equipment 277,SN-00000277,2024-08-26,2029-08-26,2026-08-26,2026-8-26,maintenance,EMP-028,Building 3 Room 18
AST-00278,Equipment 278,SN-00000278,2025-09-27,20210-09-27,2026-09-27,2026-9-27,retired,EMP-029,Building 4 Room 19
AST-00279,Equipment 279,SN-00000279,2026-01-28,20211-01-28,2026-01-28,2026-10-28,standby,EMP-030,Building 5 Room 20
AST-00280,Equipment 280,SN-00000280,2020-02-01,2027-02-01,2026-02-01,2026-11-01,active,EMP-031,Building 1 Room 1
AST-00281,Equipment 281,SN-00000281,2021-03-02,2028-03-02,2026-03-02,2026-12-02,maintenance,EMP-032,Building 2 Room 2
AST-00282,Equipment 282,SN-00000282,2022-04-03,2029-04-03,2026-04-03,2026-7-03,retired,EMP-033,Building 3 Room 3
AST-00283,Equipment 283,SN-00000283,2023-05-04,20210-05-04,2026-05-04,2026-8-04,standby,EMP-034,Building 4 Room 4
AST-00284,Equipment 284,SN-00000284,2024-06-05,20211-06-05,2026-06-05,2026-9-05,active,EMP-035,Building 5 Room 5
AST-00285,Equipment 285,SN-00000285,2025-07-06,2027-07-06,2026-07-06,2026-10-06,maintenance,EMP-036,Building 1 Room 6
AST-00286,Equipment 286,SN-00000286,2026-08-07,2028-08-07,2026-08-07,2026-11-07,retired,EMP-037,Building 2 Room 7
AST-00287,Equipment 287,SN-00000287,2020-09-08,2029-09-08,2026-09-08,2026-12-08,standby,EMP-038,Building 3 Room 8
AST-00288,Equipment 288,SN-00000288,2021-01-09,20210-01-09,2026-01-09,2026-7-09,active,EMP-039,Building 4 Room 9
AST-00289,Equipment 289,SN-00000289,2022-02-10,20211-02-10,2026-02-10,2026-8-10,maintenance,EMP-040,Building 5 Room 10
AST-00290,Equipment 290,SN-00000290,2023-03-11,2027-03-11,2026-03-11,2026-9-11,retired,EMP-041,Building 1 Room 11
AST-00291,Equipment 291,SN-00000291,2024-04-12,2028-04-12,2026-04-12,2026-10-12,standby,EMP-042,Building 2 Room 12
AST-00292,Equipment 292,SN-00000292,2025-05-13,2029-05-13,2026-05-13,2026-11-13,active,EMP-043,Building 3 Room 13
AST-00293,Equipment 293,SN-00000293,2026-06-14,20210-06-14,2026-06-14,2026-12-14,maintenance,EMP-044,Building 4 Room 14
AST-00294,Equipment 294,SN-00000294,2020-07-15,20211-07-15,2026-07-15,2026-7-15,retired,EMP-045,Building 5 Room 15
AST-00295,Equipment 295,SN-00000295,2021-08-16,2027-08-16,2026-08-16,2026-8-16,standby,EMP-046,Building 1 Room 16
AST-00296,Equipment 296,SN-00000296,2022-09-17,2028-09-17,2026-09-17,2026-9-17,active,EMP-047,Building 2 Room 17
AST-00297,Equipment 297,SN-00000297,2023-01-18,2029-01-18,2026-01-18,2026-10-18,maintenance,EMP-048,Building 3 Room 18
AST-00298,Equipment 298,SN-00000298,2024-02-19,20210-02-19,2026-02-19,2026-11-19,retired,EMP-049,Building 4 Room 19
AST-00299,Equipment 299,SN-00000299,2025-03-20,20211-03-20,2026-03-20,2026-12-20,standby,EMP-050,Building 5 Room 20
AST-00300,Equipment 300,SN-00000300,2026-04-21,2027-04-21,2026-04-21,2026-7-21,active,EMP-001,Building 1 Room 1
AST-00301,Equipment 301,SN-00000301,2020-05-22,2028-05-22,2026-05-22,2026-8-22,maintenance,EMP-002,Building 2 Room 2
AST-00302,Equipment 302,SN-00000302,2021-06-23,2029-06-23,2026-06-23,2026-9-23,retired,EMP-003,Building 3 Room 3
AST-00303,Equipment 303,SN-00000303,2022-07-24,20210-07-24,2026-07-24,2026-10-24,standby,EMP-004,Building 4 Room 4
AST-00304,Equipment 304,SN-00000304,2023-08-25,20211-08-25,2026-08-25,2026-11-25,active,EMP-005,Building 5 Room 5
AST-00305,Equipment 305,SN-00000305,2024-09-26,2027-09-26,2026-09-26,2026-12-26,maintenance,EMP-006,Building 1 Room 6
AST-00306,Equipment 306,SN-00000306,2025-01-27,2028-01-27,2026-01-27,2026-7-27,retired,EMP-007,Building 2 Room 7
AST-00307,Equipment 307,SN-00000307,2026-02-28,2029-02-28,2026-02-28,2026-8-28,standby,EMP-008,Building 3 Room 8
AST-00308,Equipment 308,SN-00000308,2020-03-01,20210-03-01,2026-03-01,2026-9-01,active,EMP-009,Building 4 Room 9
AST-00309,Equipment 309,SN-00000309,2021-04-02,20211-04-02,2026-04-02,2026-10-02,maintenance,EMP-010,Building 5 Room 10
AST-00310,Equipment 310,SN-00000310,2022-05-03,2027-05-03,2026-05-03,2026-11-03,retired,EMP-011,Building 1 Room 11
AST-00311,Equipment 311,SN-00000311,2023-06-04,2028-06-04,2026-06-04,2026-12-04,standby,EMP-012,Building 2 Room 12
AST-00312,Equipment 312,SN-00000312,2024-07-05,2029-07-05,2026-07-05,2026-7-05,active,EMP-013,Building 3 Room 13
AST-00313,Equipment 313,SN-00000313,2025-08-06,20210-08-06,2026-08-06,2026-8-06,maintenance,EMP-014,Building 4 Room 14
AST-00314,Equipment 314,SN-00000314,2026-09-07,20211-09-07,2026-09-07,2026-9-07,retired,EMP-015,Building 5 Room 15
AST-00315,Equipment 315,SN-00000315,2020-01-08,2027-01-08,2026-01-08,2026-10-08,standby,EMP-016,Building 1 Room 16
AST-00316,Equipment 316,SN-00000316,2021-02-09,2028-02-09,2026-02-09,2026-11-09,active,EMP-017,Building 2 Room 17
AST-00317,Equipment 317,SN-00000317,2022-03-10,2029-03-10,2026-03-10,2026-12-10,maintenance,EMP-018,Building 3 Room 18
AST-00318,Equipment 318,SN-00000318,2023-04-11,20210-04-11,2026-04-11,2026-7-11,retired,EMP-019,Building 4 Room 19
AST-00319,Equipment 319,SN-00000319,2024-05-12,20211-05-12,2026-05-12,2026-8-12,standby,EMP-020,Building 5 Room 20
AST-00320,Equipment 320,SN-00000320,2025-06-13,2027-06-13,2026-06-13,2026-9-13,active,EMP-021,Building 1 Room 1
AST-00321,Equipment 321,SN-00000321,2026-07-14,2028-07-14,2026-07-14,2026-10-14,maintenance,EMP-022,Building 2 Room 2
AST-00322,Equipment 322,SN-00000322,2020-08-15,2029-08-15,2026-08-15,2026-11-15,retired,EMP-023,Building 3 Room 3
AST-00323,Equipment 323,SN-00000323,2021-09-16,20210-09-16,2026-09-16,2026-12-16,standby,EMP-024,Building 4 Room 4
AST-00324,Equipment 324,SN-00000324,2022-01-17,20211-01-17,2026-01-17,2026-7-17,active,EMP-025,Building 5 Room 5
AST-00325,Equipment 325,SN-00000325,2023-02-18,2027-02-18,2026-02-18,2026-8-18,maintenance,EMP-026,Building 1 Room 6
AST-00326,Equipment 326,SN-00000326,2024-03-19,2028-03-19,2026-03-19,2026-9-19,retired,EMP-027,Building 2 Room 7
AST-00327,Equipment 327,SN-00000327,2025-04-20,2029-04-20,2026-04-20,2026-10-20,standby,EMP-028,Building 3 Room 8
AST-00328,Equipment 328,SN-00000328,2026-05-21,20210-05-21,2026-05-21,2026-11-21,active,EMP-029,Building 4 Room 9
AST-00329,Equipment 329,SN-00000329,2020-06-22,20211-06-22,2026-06-22,2026-12-22,maintenance,EMP-030,Building 5 Room 10
AST-00330,Equipment 330,SN-00000330,2021-07-23,2027-07-23,2026-07-23,2026-7-23,retired,EMP-031,Building 1 Room 11
AST-00331,Equipment 331,SN-00000331,2022-08-24,2028-08-24,2026-08-24,2026-8-24,standby,EMP-032,Building 2 Room 12
AST-00332,Equipment 332,SN-00000332,2023-09-25,2029-09-25,2026-09-25,2026-9-25,active,EMP-033,Building 3 Room 13
AST-00333,Equipment 333,SN-00000333,2024-01-26,20210-01-26,2026-01-26,2026-10-26,maintenance,EMP-034,Building 4 Room 14
AST-00334,Equipment 334,SN-00000334,2025-02-27,20211-02-27,2026-02-27,2026-11-27,retired,EMP-035,Building 5 Room 15
AST-00335,Equipment 335,SN-00000335,2026-03-28,2027-03-28,2026-03-28,2026-12-28,standby,EMP-036,Building 1 Room 16
AST-00336,Equipment 336,SN-00000336,2020-04-01,2028-04-01,2026-04-01,2026-7-01,active,EMP-037,Building 2 Room 17
AST-00337,Equipment 337,SN-00000337,2021-05-02,2029-05-02,2026-05-02,2026-8-02,maintenance,EMP-038,Building 3 Room 18
AST-00338,Equipment 338,SN-00000338,2022-06-03,20210-06-03,2026-06-03,2026-9-03,retired,EMP-039,Building 4 Room 19
AST-00339,Equipment 339,SN-00000339,2023-07-04,20211-07-04,2026-07-04,2026-10-04,standby,EMP-040,Building 5 Room 20
AST-00340,Equipment 340,SN-00000340,2024-08-05,2027-08-05,2026-08-05,2026-11-05,active,EMP-041,Building 1 Room 1
AST-00341,Equipment 341,SN-00000341,2025-09-06,2028-09-06,2026-09-06,2026-12-06,maintenance,EMP-042,Building 2 Room 2
AST-00342,Equipment 342,SN-00000342,2026-01-07,2029-01-07,2026-01-07,2026-7-07,retired,EMP-043,Building 3 Room 3
AST-00343,Equipment 343,SN-00000343,2020-02-08,20210-02-08,2026-02-08,2026-8-08,standby,EMP-044,Building 4 Room 4
AST-00344,Equipment 344,SN-00000344,2021-03-09,20211-03-09,2026-03-09,2026-9-09,active,EMP-045,Building 5 Room 5
AST-00345,Equipment 345,SN-00000345,2022-04-10,2027-04-10,2026-04-10,2026-10-10,maintenance,EMP-046,Building 1 Room 6
AST-00346,Equipment 346,SN-00000346,2023-05-11,2028-05-11,2026-05-11,2026-11-11,retired,EMP-047,Building 2 Room 7
AST-00347,Equipment 347,SN-00000347,2024-06-12,2029-06-12,2026-06-12,2026-12-12,standby,EMP-048,Building 3 Room 8
AST-00348,Equipment 348,SN-00000348,2025-07-13,20210-07-13,2026-07-13,2026-7-13,active,EMP-049,Building 4 Room 9
AST-00349,Equipment 349,SN-00000349,2026-08-14,20211-08-14,2026-08-14,2026-8-14,maintenance,EMP-050,Building 5 Room 10
AST-00350,Equipment 350,SN-00000350,2020-09-15,2027-09-15,2026-09-15,2026-9-15,retired,EMP-001,Building 1 Room 11
AST-00351,Equipment 351,SN-00000351,2021-01-16,2028-01-16,2026-01-16,2026-10-16,standby,EMP-002,Building 2 Room 12
AST-00352,Equipment 352,SN-00000352,2022-02-17,2029-02-17,2026-02-17,2026-11-17,active,EMP-003,Building 3 Room 13
AST-00353,Equipment 353,SN-00000353,2023-03-18,20210-03-18,2026-03-18,2026-12-18,maintenance,EMP-004,Building 4 Room 14
AST-00354,Equipment 354,SN-00000354,2024-04-19,20211-04-19,2026-04-19,2026-7-19,retired,EMP-005,Building 5 Room 15
AST-00355,Equipment 355,SN-00000355,2025-05-20,2027-05-20,2026-05-20,2026-8-20,standby,EMP-006,Building 1 Room 16
AST-00356,Equipment 356,SN-00000356,2026-06-21,2028-06-21,2026-06-21,2026-9-21,active,EMP-007,Building 2 Room 17
AST-00357,Equipment 357,SN-00000357,2020-07-22,2029-07-22,2026-07-22,2026-10-22,maintenance,EMP-008,Building 3 Room 18
AST-00358,Equipment 358,SN-00000358,2021-08-23,20210-08-23,2026-08-23,2026-11-23,retired,EMP-009,Building 4 Room 19
AST-00359,Equipment 359,SN-00000359,2022-09-24,20211-09-24,2026-09-24,2026-12-24,standby,EMP-010,Building 5 Room 20
AST-00360,Equipment 360,SN-00000360,2023-01-25,2027-01-25,2026-01-25,2026-7-25,active,EMP-011,Building 1 Room 1
AST-00361,Equipment 361,SN-00000361,2024-02-26,2028-02-26,2026-02-26,2026-8-26,maintenance,EMP-012,Building 2 Room 2
AST-00362,Equipment 362,SN-00000362,2025-03-27,2029-03-27,2026-03-27,2026-9-27,retired,EMP-013,Building 3 Room 3
AST-00363,Equipment 363,SN-00000363,2026-04-28,20210-04-28,2026-04-28,2026-10-28,standby,EMP-014,Building 4 Room 4
AST-00364,Equipment 364,SN-00000364,2020-05-01,20211-05-01,2026-05-01,2026-11-01,active,EMP-015,Building 5 Room 5
AST-00365,Equipment 365,SN-00000365,2021-06-02,2027-06-02,2026-06-02,2026-12-02,maintenance,EMP-016,Building 1 Room 6
AST-00366,Equipment 366,SN-00000366,2022-07-03,2028-07-03,2026-07-03,2026-7-03,retired,EMP-017,Building 2 Room 7
AST-00367,Equipment 367,SN-00000367,2023-08-04,2029-08-04,2026-08-04,2026-8-04,standby,EMP-018,Building 3 Room 8
AST-00368,Equipment 368,SN-00000368,2024-09-05,20210-09-05,2026-09-05,2026-9-05,active,EMP-019,Building 4 Room 9
AST-00369,Equipment 369,SN-00000369,2025-01-06,20211-01-06,2026-01-06,2026-10-06,maintenance,EMP-020,Building 5 Room 10
AST-00370,Equipment 370,SN-00000370,2026-02-07,2027-02-07,2026-02-07,2026-11-07,retired,EMP-021,Building 1 Room 11
AST-00371,Equipment 371,SN-00000371,2020-03-08,2028-03-08,2026-03-08,2026-12-08,standby,EMP-022,Building 2 Room 12
AST-00372,Equipment 372,SN-00000372,2021-04-09,2029-04-09,2026-04-09,2026-7-09,active,EMP-023,Building 3 Room 13
AST-00373,Equipment 373,SN-00000373,2022-05-10,20210-05-10,2026-05-10,2026-8-10,maintenance,EMP-024,Building 4 Room 14
AST-00374,Equipment 374,SN-00000374,2023-06-11,20211-06-11,2026-06-11,2026-9-11,retired,EMP-025,Building 5 Room 15
AST-00375,Equipment 375,SN-00000375,2024-07-12,2027-07-12,2026-07-12,2026-10-12,standby,EMP-026,Building 1 Room 16
AST-00376,Equipment 376,SN-00000376,2025-08-13,2028-08-13,2026-08-13,2026-11-13,active,EMP-027,Building 2 Room 17
AST-00377,Equipment 377,SN-00000377,2026-09-14,2029-09-14,2026-09-14,2026-12-14,maintenance,EMP-028,Building 3 Room 18
AST-00378,Equipment 378,SN-00000378,2020-01-15,20210-01-15,2026-01-15,2026-7-15,retired,EMP-029,Building 4 Room 19
AST-00379,Equipment 379,SN-00000379,2021-02-16,20211-02-16,2026-02-16,2026-8-16,standby,EMP-030,Building 5 Room 20
AST-00380,Equipment 380,SN-00000380,2022-03-17,2027-03-17,2026-03-17,2026-9-17,active,EMP-031,Building 1 Room 1
AST-00381,Equipment 381,SN-00000381,2023-04-18,2028-04-18,2026-04-18,2026-10-18,maintenance,EMP-032,Building 2 Room 2
AST-00382,Equipment 382,SN-00000382,2024-05-19,2029-05-19,2026-05-19,2026-11-19,retired,EMP-033,Building 3 Room 3
AST-00383,Equipment 383,SN-00000383,2025-06-20,20210-06-20,2026-06-20,2026-12-20,standby,EMP-034,Building 4 Room 4
AST-00384,Equipment 384,SN-00000384,2026-07-21,20211-07-21,2026-07-21,2026-7-21,active,EMP-035,Building 5 Room 5
AST-00385,Equipment 385,SN-00000385,2020-08-22,2027-08-22,2026-08-22,2026-8-22,maintenance,EMP-036,Building 1 Room 6
AST-00386,Equipment 386,SN-00000386,2021-09-23,2028-09-23,2026-09-23,2026-9-23,retired,EMP-037,Building 2 Room 7
AST-00387,Equipment 387,SN-00000387,2022-01-24,2029-01-24,2026-01-24,2026-10-24,standby,EMP-038,Building 3 Room 8
AST-00388,Equipment 388,SN-00000388,2023-02-25,20210-02-25,2026-02-25,2026-11-25,active,EMP-039,Building 4 Room 9
AST-00389,Equipment 389,SN-00000389,2024-03-26,20211-03-26,2026-03-26,2026-12-26,maintenance,EMP-040,Building 5 Room 10
AST-00390,Equipment 390,SN-00000390,2025-04-27,2027-04-27,2026-04-27,2026-7-27,retired,EMP-041,Building 1 Room 11
AST-00391,Equipment 391,SN-00000391,2026-05-28,2028-05-28,2026-05-28,2026-8-28,standby,EMP-042,Building 2 Room 12
AST-00392,Equipment 392,SN-00000392,2020-06-01,2029-06-01,2026-06-01,2026-9-01,active,EMP-043,Building 3 Room 13
AST-00393,Equipment 393,SN-00000393,2021-07-02,20210-07-02,2026-07-02,2026-10-02,maintenance,EMP-044,Building 4 Room 14
AST-00394,Equipment 394,SN-00000394,2022-08-03,20211-08-03,2026-08-03,2026-11-03,retired,EMP-045,Building 5 Room 15
AST-00395,Equipment 395,SN-00000395,2023-09-04,2027-09-04,2026-09-04,2026-12-04,standby,EMP-046,Building 1 Room 16
AST-00396,Equipment 396,SN-00000396,2024-01-05,2028-01-05,2026-01-05,2026-7-05,active,EMP-047,Building 2 Room 17
AST-00397,Equipment 397,SN-00000397,2025-02-06,2029-02-06,2026-02-06,2026-8-06,maintenance,EMP-048,Building 3 Room 18
AST-00398,Equipment 398,SN-00000398,2026-03-07,20210-03-07,2026-03-07,2026-9-07,retired,EMP-049,Building 4 Room 19
AST-00399,Equipment 399,SN-00000399,2020-04-08,20211-04-08,2026-04-08,2026-10-08,standby,EMP-050,Building 5 Room 20
AST-00400,Equipment 400,SN-00000400,2021-05-09,2027-05-09,2026-05-09,2026-11-09,active,EMP-001,Building 1 Room 1
AST-00401,Equipment 401,SN-00000401,2022-06-10,2028-06-10,2026-06-10,2026-12-10,maintenance,EMP-002,Building 2 Room 2
AST-00402,Equipment 402,SN-00000402,2023-07-11,2029-07-11,2026-07-11,2026-7-11,retired,EMP-003,Building 3 Room 3
AST-00403,Equipment 403,SN-00000403,2024-08-12,20210-08-12,2026-08-12,2026-8-12,standby,EMP-004,Building 4 Room 4
AST-00404,Equipment 404,SN-00000404,2025-09-13,20211-09-13,2026-09-13,2026-9-13,active,EMP-005,Building 5 Room 5
AST-00405,Equipment 405,SN-00000405,2026-01-14,2027-01-14,2026-01-14,2026-10-14,maintenance,EMP-006,Building 1 Room 6
AST-00406,Equipment 406,SN-00000406,2020-02-15,2028-02-15,2026-02-15,2026-11-15,retired,EMP-007,Building 2 Room 7
AST-00407,Equipment 407,SN-00000407,2021-03-16,2029-03-16,2026-03-16,2026-12-16,standby,EMP-008,Building 3 Room 8
AST-00408,Equipment 408,SN-00000408,2022-04-17,20210-04-17,2026-04-17,2026-7-17,active,EMP-009,Building 4 Room 9
AST-00409,Equipment 409,SN-00000409,2023-05-18,20211-05-18,2026-05-18,2026-8-18,maintenance,EMP-010,Building 5 Room 10
AST-00410,Equipment 410,SN-00000410,2024-06-19,2027-06-19,2026-06-19,2026-9-19,retired,EMP-011,Building 1 Room 11
AST-00411,Equipment 411,SN-00000411,2025-07-20,2028-07-20,2026-07-20,2026-10-20,standby,EMP-012,Building 2 Room 12
AST-00412,Equipment 412,SN-00000412,2026-08-21,2029-08-21,2026-08-21,2026-11-21,active,EMP-013,Building 3 Room 13
AST-00413,Equipment 413,SN-00000413,2020-09-22,20210-09-22,2026-09-22,2026-12-22,maintenance,EMP-014,Building 4 Room 14
